host_since,first_review,neighbourhood_cleansed
2014-08-27,2015-01-03,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2011-03-21,,ΝΙΡΒΑΝΑ
2014-09-02,2014-09-27,ΠΑΓΚΡΑΤΙ
2014-05-13,2015-03-18,ΘΗΣΕΙΟ
2014-09-09,2014-09-22,ΓΚΑΖΙ
2014-09-02,,ΠΟΛΥΓΩΝΟ
2014-07-27,2015-02-24,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ
2014-09-10,,ΑΝΩ ΠΑΤΗΣΙΑ
2011-11-17,2014-11-12,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-09-12,2014-09-29,ΑΚΡΟΠΟΛΗ
2013-05-07,2014-09-29,ΛΥΚΑΒΗΤΤΟΣ
2014-09-13,2015-01-11,ΑΝΩ ΚΥΨΕΛΗ
2014-09-14,2015-06-12,ΓΚΑΖΙ
2014-09-15,2014-10-07,ΘΗΣΕΙΟ
2014-09-17,2014-10-21,ΠΑΓΚΡΑΤΙ
2014-09-19,2015-04-25,ΝΕΟΣ ΚΟΣΜΟΣ
